Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
L_01_1	Extraction		sylilation	L_01_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_01_1	FILES/L_01_1.cdf	Data transformation	L_01_1		Metabolite identification	L_01_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_02_1	Extraction		sylilation	L_02_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_02_1	FILES/L_02_1.cdf	Data transformation	L_02_1		Metabolite identification	L_02_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_03_1	Extraction		sylilation	L_03_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_03_1	FILES/L_03_1.cdf	Data transformation	L_03_1		Metabolite identification	L_03_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_04_1	Extraction		sylilation	L_04_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_04_1	FILES/L_04_1.cdf	Data transformation	L_04_1		Metabolite identification	L_04_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_05_1	Extraction		sylilation	L_05_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_05_1	FILES/L_05_1.cdf	Data transformation	L_05_1		Metabolite identification	L_05_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_06_1	Extraction		sylilation	L_06_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_06_1	FILES/L_06_1.cdf	Data transformation	L_06_1		Metabolite identification	L_06_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_08_1	Extraction		sylilation	L_08_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_08_1	FILES/L_08_1.cdf	Data transformation	L_08_1		Metabolite identification	L_08_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_09_1	Extraction		sylilation	L_09_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_09_1	FILES/L_09_1.cdf	Data transformation	L_09_1		Metabolite identification	L_09_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_10_1	Extraction		sylilation	L_10_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_10_1	FILES/L_10_1.cdf	Data transformation	L_10_1		Metabolite identification	L_10_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_11_1	Extraction		sylilation	L_11_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_11_1	FILES/L_11_1.cdf	Data transformation	L_11_1		Metabolite identification	L_11_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_12_1	Extraction		sylilation	L_12_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_12_1	FILES/L_12_1.cdf	Data transformation	L_12_1		Metabolite identification	L_12_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_13_1	Extraction		sylilation	L_13_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_13_1	FILES/L_13_1.cdf	Data transformation	L_13_1		Metabolite identification	L_13_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_16_1	Extraction		sylilation	L_16_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_16_1	FILES/L_16_1.cdf	Data transformation	L_16_1		Metabolite identification	L_16_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_17_1	Extraction		sylilation	L_17_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_17_1	FILES/L_17_1.cdf	Data transformation	L_17_1		Metabolite identification	L_17_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_18_1	Extraction		sylilation	L_18_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_18_1	FILES/L_18_1.cdf	Data transformation	L_18_1		Metabolite identification	L_18_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_19_1	Extraction		sylilation	L_19_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_19_1	FILES/L_19_1.cdf	Data transformation	L_19_1		Metabolite identification	L_19_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_20_1	Extraction		sylilation	L_20_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_20_1	FILES/L_20_1.cdf	Data transformation	L_20_1		Metabolite identification	L_20_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_21_1	Extraction		sylilation	L_21_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_21_1	FILES/L_21_1.cdf	Data transformation	L_21_1		Metabolite identification	L_21_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
