database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	L_01_1	L_02_1	L_03_1	L_04_1	L_05_1	L_06_1	L_08_1	L_09_1	L_10_1	L_11_1	L_12_1	L_13_1	L_16_1	L_17_1	L_18_1	L_19_1	L_20_1	L_21_1	L_22_1	L_23_1	L_24_1	L_25_1	L_26_1	L_27_1	L_28_1	L_29_1	L_30_1	L_31_1	L_32_1	L_33_1	L_34_1	L_35_1	L_36_1	L_37_1	L_38_1	L_39_1	L_40_1	L_42_1	L_44_1	L_45_1	L_46_1	L_47_1	L_48_1	L_50_1	L_51_1	L_52_1	L_53_1	L_54_1	L_57_1	L_60_1	alkane_1
unknown				PR-MST					1046	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										107.7812	135.8212	208.6638	208.0743	153.9615	185.8548	204.3399	146.2551	116.0995	171.9433	196.9878	102.5272	188.6087	97.3841	128.7454	122.9574	146.7054	139.1075	228.9218	101.5019	183.7579	189.5508	120.633	193.0102	120.5318	143.7108	172.2799	148.3352	215.0178	123.3638	102.8484	111.8041	219.13	102.3648	144.4761	102.4806	164.5316	113.9732	185.1949	138.8542	162.2551	119.6804	114.6622	152.5205	81.5744	81.083	89.3075	53.7341	101.5308	112.219	
CHEBI:24996	C3H5O3-	CC(O)C([O-])=O	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1	Lactate					1047	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										170.7972	137.26	270.3006	146.3086	274.1251	190.2389	152.0669	175.0688	106.8263	125.8143	146.6412	117.0478	113.3856	68.6859	130.0241	109.7453	70.7637	80.9303	109.8866	48.7523	85.0615	80.6174	90.211	66.9206	72.616	118.3347	112.4308	134.3597	102.9451	124.9834	112.6728	103.9769	121.036	103.7012	69.172	83.7668	71.6605	87.2552	102.0008	194.5628	127.5309	105.6525	201.0949	104.7732	100.7071	114.3308	202.6645	111.0338	116.6805	89.0865	
unknown				MST					1066	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										17.7298	7.7613	18.1139	12.5255	18.3638	12.5119	24.1845	17.579	16.2858	22.1995	18.2115	14.277	12.1149	9.4264	18.2528	15.0065	13.9748	9.2024	17.6588	4.5474	3.7674	11.6739	9.0313	11.9125	2.8082	12.6788	11.6921	8.9442	4.2907	10.2029	6.4151	7.6125	2.7885	8.2223	11.2847	3.7008	12.793	12.3944	17.0012	11.1979	10.6379	17.9728	15.3605	14.2148	15.2637	9.8226	12.3099	22.1246	11.9693	15.8275	
CHEBI:16449	C3H7NO2	CCOC(=O)N	InChI=1S/C3H7NO2/c1-2-6-3(4)5/h2H2,1H3,(H2,4,5)	Alanine					1096	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										202.2193	179.9193	203.688	381.9071	265.4042	370.8981	125.6707	285.2175	295.7713	273.579	372.9198	533.5438	29.4208	280.8639	185.4232	357.2635	246.7213	329.3943	241.1051	255.5307	183.0975	271.906	271.6885	233.7167	200.2492	292.5361	309.9787	286.4049	142.2388	285.3828	360.8557	402.5632	229.5785	404.6373	230.0478	202.3193	77.2157	229.873	165.1552	308.6518	238.4672	284.744	307.7483	240.7033	219.2227	253.4111	283.3435	262.0969	294.6046	212.6601	
unknown				PR-MST					1104	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										84.5683	88.5931	52.8559	58.1682	62.019	66.6003	61.5587	79.6831	78.92	66.1957	58.0986	82.7001	50.9323	90.1893	72.2836	84.5474	73.7839	65.4808	52.237	94.2565	91.6378	64.4921	87.7484	64.8074	96.0429	68.9152	73.779	78.0568	63.5459	70.6014	75.2151	72.5627	73.3879	80.4408	69.2048	79.4954	63.0296	69.5998	47.4462	73.5341	52.0084	63.5211	61.2748	52.9015	70.1758	82.7287	78.2781	79.9161	59.0498	52.8908	
CHEBI:15429	H3NO	NO	InChI=1S/H3NO/c1-2/h2H,1H2	Hydroxylamine					1111	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										43.4974	38.5677	33.2777	31.087	37.8242	38.8612	27.644	35.4173	32.1827	32.3878	34.0328	37.2972	19.5112	33.9488	43.9266	40.526	41.3934	36.8911	33.8367	39.5535	37.7331	28.7737	43.2512	47.7871	29.6084	25.6586	42.4907	41.7023	30.4022	31.4206	27.5176	35.9292	42.6143	37.6128	45.8006	34.4503	41.8233	45.3461	34.1271	39.7431	37.6483	30.064	37.9669	39.8946	35.0621	37.7909	36.9049	30.5585	37.3262	26.3211	
unknown				PR-MST					1124	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										10.834	11.2327	15.1666	16.2499	14.1895	14.6259	14.9486	12.977	12.3815	13.754	14.7819	13.4675	15.2458	12.0201	14.456	11.1032	13.1567	13.5903	16.7032	11.5914	13.1171	14.7421	9.2793	13.1025	13.1871	14.636	12.591	11.8134	12.3	11.9114	13.1071	11.1654	12.5204	10.0904	14.8913	10.9149	10.1233	13.7858	12.2402	13.4545	12.4583	15.0889	16.1269	12.9427	11.4849	12.8049	13.4054	12.6029	15.1069	13.2384	
CHEBI:15901	C4H6N2O2	C1CNC(=O)NC1=O	InChI=1S/C4H6N2O2/c7-3-1-2-5-4(8)6-3/h1-2H2,(H2,5,6,7,8)	Dihydrouracil					1135	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										24.6657	34.4495	42.5646	38.5069	35.9023	41.0167	35.2875	30.1879	34.2341	23.2215	32.6183	25.8907	35.8768	26.5563	30.091	28.1796	36.1225	31.7012	39.4103	32.6716	42.4648	32.0237	24.7801	39.733	35.0516	34.0066	32.5661	35.0609	45.762	34.3438	26.0823	26.9249	47.894	24.589	31.1788	25.1969	36.0723	25.0388	33.3166	34.2704	30.4355	22.9195	23.0164	28.3539	20.6444	19.8671	20.6037	19.1818	28.085	22.591	
unknown				PR-MST					1140	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										77.1588	110.8122	98.6534	83.0853	120.0693	77.1897	67.4187	61.984	57.2021	90.8254	85.7863	74.8647	85.0315	115.5327	61.7429	70.9046	61.6834	71.2497	90.1473	102.3657	96.1367	74.7464	95.9906	99.9969	70.0563	91.1249	55.3951	67.374	150.0426	66.0361	95.1305	105.6472	166.0141	76.0109	103.9742	82.293	82.6116	76.5756	62.431	60.9819	76.6439	68.3481	60.9674	78.7187	83.8302	76.4194	61.7143	64.6515	95.4414	56.5566	
unknown				PR-MST					1170	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										85.8996	124.318	237.0911	250.7971	174.018	206.0093	236.1749	143.2344	104.5053	198.4497	226.5002	74.1658	199.9038	81.6099	111.076	115.6148	143.6534	135.3617	275.7161	73.7066	176.6034	214.4147	106.1123	222.201	88.1636	151.4834	179.0642	141.546	245.901	120.3462	78.9538	91.9346	261.836	90.1733	143.8665	72.1491	174.2388	104.2772	222.3873	128.5925	185.5181	114.1343	92.3507	172.6751	67.8974	56.9264	63.5453	30.9617	101.6528	107.8051	
